sample,label
to even categorize this as a smutty guilty pleasure ,0
this region and ,1
"has a more colorful , more playful tone than his other films . ",1
scarcely worth a mention apart from reporting on the number of tumbleweeds blowing through the empty theaters graced with its company . ,0
is surprisingly brilliant ,1
"it 's tough to tell which is in more abundant supply in this woefully hackneyed movie , directed by scott kalvert , about street gangs and turf wars in 1958 brooklyn -- stale cliches , gratuitous violence , or empty machismo . ",0
scored and powered ,1
manages to squeeze by on angelina jolie 's surprising flair for self-deprecating comedy . ,1
to be dismissed ,0
's a very valuable film ... ,1
an annoying orgy of excess and exploitation ,0
"a so-so , made-for-tv something posing as a real movie . ",0
in a way that bespeaks an expiration date passed a long time ago ,0
entertainingly reenacting a historic scandal . ,1
a searing lead performance ,1
", more frantic than involving , more chaotic than entertaining . ",0
are infants ,0
slight to be called any kind of masterpiece ,0
wrapped up in the characters ,1
"the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why . ",0
"not for the striking , quietly vulnerable personality of ms. ambrose ",1
"humorless , self-conscious art drivel ",0
a classic ,1
tnt ,1
hypnotically dull . ,0
better actor ,1
compellingly watchable . ,1
psychological case study ,1
fun-seeking ,1
than sucking you in ... and making you sweat ,1
"starts to smack of a hallmark hall of fame , with a few four letter words thrown in that are generally not heard on television . ",0
unimaginative comedian ,0
"if you give a filmmaker an unlimited amount of phony blood , nothing good can happen ",0
's a lot richer than the ones ,1
takes big bloody chomps out of it ,0
"one of the most plain , unimaginative romantic comedies i ",0
succeeds through sincerity ,1
whether or not ,0
rarely has sex on screen been so aggressively anti-erotic . ,0
all ca n't stand ,0
and gently humorous ,1
worshipful ,1
spiffing up leftovers that are n't so substantial or fresh ,0
"a lot of static set ups , not much camera movement , and most of the scenes ",0
the strain is all too evident ,0
built-in audience ,1
much more than ,1
"jaw-droppingly superficial , straining to get by on humor that is not even as daring as john ritter 's glory days on three 's company . ",0
"would be hard-pressed to find a movie with a bigger , fatter heart than barbershop . ",1
an energetic and engaging film that never pretends to be something it is n't . ,1
its characters ' decisions ,0
"'s a lovely , sad dance highlighted by kwan 's unique directing style . ",1
succeeds in delivering a dramatic slap in the face that 's simultaneously painful and refreshing ,1
served by the movie 's sophomoric blend of shenanigans and slapstick ,0
they have been patiently waiting for ,1
's lots of cool stuff packed into espn 's ultimate x. ,1
refreshingly unhibited ,1
", it really won my heart ",1
fulford-wierzbicki ... deftly captures the wise-beyond-her-years teen . ,1
that movie nothing ,0
crypt ,1
that you can not believe anyone more central to the creation of bugsy than the caterer ,0
"which is somehow guessable from the first few minutes , maybe because it echoes the by now intolerable morbidity of so many recent movies ",0
"gives ample opportunity for large-scale action and suspense , which director shekhar kapur supplies with tremendous skill . ",1
embarrassed to be part of ,0
"fun , curiously adolescent movie ",1
"suspense , intriguing characters and bizarre bank robberies , ",1
the story 's scope and pageantry ,1
the distinct and very welcome sense ,1
an edifying glimpse into the wit and revolutionary spirit of these performers and their era ,1
"ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting ",1
"absurd , ",0
"a bizarre piece of work , with premise and dialogue at the level of kids ' television and plot threads ",0
fantasies ,1
"'s not a bad premise , just a bad movie ",0
of small-town competition ,1
as literary desecrations go ,0
forced ,0
best films ,1
"nicole holofcenter , the insightful writer/director responsible for this illuminating comedy does n't wrap the proceedings up neatly but the ideas tie together beautifully ",1
"the urban landscapes are detailed down to the signs on the kiosks , and ",1
gently ,1
", it 's just another sports drama/character study . ",0
"nutty , consistently funny . ",1
a look ,1
"take center screen , so that the human story is pushed to one side ",0
"as darkly funny , energetic ",1
"a big , loud , bang-the-drum bore . ",0
"bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ",0
"an unencouraging threefold expansion on the former mtv series , accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. . ",0
it ` perfection ,1
captures the raw comic energy of one of our most flamboyant female comics ,1
"the mothman prophecies , which is mostly a bore , seems to exist only for its climactic setpiece . ",0
"it has fun with the quirks of family life , ",1
"is a variant of the nincompoop benigni persona , here a more annoying , though less angry version of the irresponsible sandlerian manchild , undercut by the voice of the star of road trip ",0
where nothing 's happening ,0
drag it down to mediocrity -- ,0
dripping with cliche and bypassing no opportunity to trivialize the material ,0
a few evocative images ,1
"of the kind of lush , all-enveloping movie experience ",1
the courage of new york 's finest and a nicely understated expression of the grief ,1
cheapen the overall effect ,0
's a funny little movie with clever dialogue and likeable characters . ,1
"faster , livelier ",1
might add -- slice of comedic bliss ,1
wears ,0
"this movie feel more like a non-stop cry for attention , than an attempt at any kind of satisfying entertainment . ",0
the precision of the insurance actuary ,1
funniest and most accurate ,1
would n't want to live waydowntown ,0
supremely ,1
it 's also undeniably exceedingly clever ,1
thoroughly entertaining comedy that ,1
but a tedious picture ,0
"manipulative claptrap , ",0
the film idiotically uses the website feardotcom.com or the improperly hammy performance from poor stephen rea ,0
"listen to extremist name-calling , ",0
"several uninteresting , unlikeable people ",0
offers no new insight ,0
relative letdown . ,0
"with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity ",1
direct-to-video ,0
such a gloriously goofy way ,1
"boring , pretentious muddle ",0
at best ,1
're in luck ,1
which fly by so fast there 's no time to think about them anyway ,0
"may not touch the planet 's skin , but understands the workings of its spirit . ",1
valiant effort to understand everyone 's point of view ,1
a tremendous piece of work . ,1
"of wladyslaw szpilman , who is not only a pianist , but a good human being ",1
"is holofcener 's deep , uncompromising curtsy to women she knows , and very likely is ",1
a funny yet dark and seedy clash ,1
"just when you think you are making sense of it , something happens that tells you there is no sense . ",0
you 've got the wildly popular vin diesel in the equation ,1
achieves near virtuosity in its crapulence ,0
has dreamed up such blatant and sickening product placement in a movie . ,0
negligible work ,0
trash ,0
amazingly dopey . ,1
i shamelessly enjoyed it ,1
amazingly ,1
gaping plot holes sink this ` sub ' ,0
cinematic deception ,0
"an incredibly thoughtful , deeply meditative picture that neatly and effectively captures the debilitating grief felt in the immediate aftermath of the terrorist attacks . ",1
call it magic ,1
not scary ,0
just lazy ,0
"inherently caustic and oddly whimsical , the film chimes in on the grieving process and strangely draws the audience into the unexplainable pain and eccentricities that are attached to the concept of loss . ",1
overcome the film 's manipulative sentimentality and annoying stereotypes ,0
feels familiar and tired ,0
"a movie more to be prescribed than recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms . ",0
"lasker 's canny , meditative script distances sex and love , as byron and luther ... realize they ca n't get no satisfaction without the latter . ",1
sparked by two actresses in their 50s working at the peak of their powers ,1
has a wooden delivery and encounters a substantial arc of change that does n't produce any real transformation . ,0
"priggish , lethargically paced parable of renewal . ",0
into a mundane '70s disaster flick ,0
the dead horse ,0
magnetic performance ,1
are limited and so embellished by editing that there 's really not much of a sense of action or even action-comedy . ,0
"proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery ",0
understand everyone 's point of view ,1
"comes off as a touching , transcendent love story ",1
"includes the line ` my stepdad 's not mean , he 's just adjusting ' ",1
is great ,1
nail the spirit-crushing ennui of denuded urban living without giving in to it ,1
conjure proper respect ,1
constantly defies expectation ,1
"tsai ming-liang 's witty , wistful new film , what time is it there ? ",1
take notice ,1
"it 's hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon , dustin hoffman and holly hunter , yet newcomer ellen pompeo pulls off the feat with aplomb . ",1
it equals the original and in some ways even betters it ,1
that 's exactly what these two people need to find each other ,1
